countInstances;loadingTime;inferenceTime;totalTime
1012500;0.11024355888366699;0.11137080192565918;0.22161436080932617
2025000;0.3258652687072754;0.49461841583251953;0.8204836845397949
3037500;1.2158212661743164;0.5705437660217285;1.786365032196045
4050000;1.4645040035247803;0.6515011787414551;2.1160051822662354
5062500;1.659449577331543;0.7429986000061035;2.4024481773376465
6075000;1.8248591423034668;0.8204042911529541;2.645263433456421
7087500;1.9935581684112549;0.906294584274292;2.899852752685547
8100000;2.110649347305298;0.9938681125640869;3.1045174598693848
9112500;2.238727331161499;1.0774211883544922;3.316148519515991
10125000;2.3681118488311768;1.164973258972168;3.5330851078033447
11137500;2.4980528354644775;1.2446560859680176;3.742708921432495
12150000;2.62735915184021;1.3296620845794678;3.9570212364196777
13162500;2.748624086380005;1.4110400676727295;4.159664154052734
14175000;2.8637382984161377;1.4912021160125732;4.354940414428711
15187500;2.986406087875366;1.5735766887664795;4.559982776641846
16200000;3.1220180988311768;1.6615831851959229;4.7836012840271
17212500;3.2498278617858887;1.7393972873687744;4.989225149154663
18225000;3.9292643070220947;1.8208849430084229;5.750149250030518
19237500;4.443140745162964;1.9033565521240234;6.346497297286987
20250000;4.572168588638306;1.9852049350738525;6.557373523712158
21262500;4.917768478393555;2.0678608417510986;6.985629320144653
22275000;5.623937129974365;2.1550540924072266;7.778991222381592
23287500;6.271380186080933;2.2448830604553223;8.516263246536255
24300000;6.968450307846069;2.343231201171875;9.311681509017944
25312500;7.467893362045288;2.428082227706909;9.895975589752197
26325000;8.063971757888794;2.5143728256225586;10.578344583511353
27337500;8.768783569335938;2.5988194942474365;11.367603063583374
28350000;9.336231708526611;2.6869969367980957;12.023228645324707
29362500;9.815170049667358;2.774841785430908;12.590011835098267
30375000;10.563329935073853;2.866827964782715;13.430157899856567
31387500;11.049629926681519;2.9550065994262695;14.004636526107788
32400000;11.974559783935547;3.038119316101074;15.012679100036621
33412500;12.728749513626099;3.1270225048065186;15.855772018432617
34425000;13.415516376495361;3.211923360824585;16.627439737319946
35437500;14.370415449142456;3.2943990230560303;17.664814472198486
36450000;14.948925971984863;3.3758544921875;18.324780464172363
37462500;15.403273105621338;3.468719005584717;18.871992111206055
38475000;16.13402247428894;3.55269455909729;19.68671703338623
39487500;16.657557010650635;3.6349937915802;20.292550802230835
40500000;17.478463649749756;3.7193403244018555;21.19780397415161
41512500;18.236611366271973;3.802523612976074;22.039134979248047
42525000;18.716684103012085;3.8977694511413574;22.614453554153442
43537500;19.386332273483276;3.988665819168091;23.374998092651367
44550000;19.929095029830933;4.080083608627319;24.009178638458252
45562500;20.41474413871765;4.174962043762207;24.58970618247986
46575000;20.86702561378479;4.259889125823975;25.126914739608765
47587500;21.27805519104004;4.350135803222656;25.628190994262695
48600000;21.746487379074097;4.439414978027344;26.18590235710144
49612500;22.224860906600952;4.530126333236694;26.754987239837646
50625000;23.05254364013672;4.621472597122192;27.67401623725891
51637500;23.60077166557312;4.718728542327881;28.319500207901
52650000;24.105489253997803;4.812468528747559;28.91795778274536
53662500;24.639195442199707;4.89667272567749;29.535868167877197
54675000;25.08703303337097;4.98735785484314;30.07439088821411
55687500;25.59471106529236;5.0776307582855225;30.67234182357788
56700000;26.45421528816223;5.164849519729614;31.619064807891846
57712500;27.128393411636353;5.251885652542114;32.38027906417847
58725000;27.595378875732422;5.354277849197388;32.94965672492981
59737500;28.11073613166809;5.434815168380737;33.54555130004883
60750000;28.943362712860107;5.522809743881226;34.46617245674133
61762500;29.87879705429077;5.625195026397705;35.50399208068848
62775000;30.59972596168518;5.7089293003082275;36.30865526199341
63787500;31.133930683135986;5.792816877365112;36.9267475605011
64800000;32.018067836761475;5.877284526824951;37.895352363586426
65812500;32.5260169506073;5.959941625595093;38.48595857620239
66825000;33.03573298454285;6.045199632644653;39.0809326171875
67837500;33.56107473373413;6.130262613296509;39.69133734703064
68850000;34.07033038139343;6.216753721237183;40.287084102630615
69862500;34.74064111709595;6.302888631820679;41.043529748916626
70875000;35.290196895599365;6.385088682174683;41.67528557777405
71887500;36.11488342285156;6.470983982086182;42.585867404937744
72900000;36.751713037490845;6.561216115951538;43.31292915344238
73912500;37.40204358100891;6.641464471817017;44.04350805282593
74925000;38.074891567230225;6.726557731628418;44.80144929885864
75937500;38.67140460014343;6.8094377517700195;45.48084235191345
76950000;39.16619563102722;6.8893749713897705;46.05557060241699
77962500;39.652533531188965;6.9794533252716064;46.63198685646057
78975000;40.369096755981445;7.062728404998779;47.431825160980225
79987500;40.87027668952942;7.146561622619629;48.01683831214905
81000000;41.67706322669983;7.232067584991455;48.909130811691284
82012500;42.1731641292572;7.318063020706177;49.49122714996338
83025000;42.8271689414978;7.399611949920654;50.22678089141846
84037500;43.33864641189575;7.486168622970581;50.82481503486633
85050000;44.03243851661682;7.5701398849487305;51.60257840156555
86062500;44.635205030441284;7.66018271446228;52.295387744903564
87075000;45.155468225479126;7.7467570304870605;52.90222525596619
88087500;45.856844902038574;7.835221767425537;53.69206666946411
89100000;46.77909207344055;7.926337480545044;54.705429553985596
90112500;47.700764894485474;8.012474298477173;55.71323919296265
91125000;48.33901333808899;8.098945140838623;56.43795847892761
92137500;48.84621572494507;8.186975240707397;57.033190965652466
93150000;49.33316946029663;8.273195743560791;57.60636520385742
94162500;50.116599798202515;8.361162424087524;58.47776222229004
95175000;50.703725814819336;8.445531606674194;59.14925742149353
96187500;51.21510720252991;8.532803058624268;59.747910261154175
97200000;51.698575258255005;8.62373685836792;60.322312116622925
98212500;52.43425488471985;8.708674907684326;61.142929792404175
