countInstances;loadingTime;inferenceTime;totalTime
1012500;0.7050480842590332;1.569810390472412;2.2748584747314453
2025000;1.4742319583892822;2.1517229080200195;3.6259548664093018
3037500;2.1551856994628906;2.421849489212036;4.577035188674927
4050000;2.691026210784912;2.6947097778320312;5.385735988616943
5062500;3.417786121368408;2.968360662460327;6.386146783828735
6075000;4.049250841140747;3.2369561195373535;7.286206960678101
7087500;4.770872116088867;3.514085292816162;8.28495740890503
8100000;5.492233514785767;3.784797191619873;9.27703070640564
9112500;6.132885456085205;4.053540468215942;10.186425924301147
10125000;6.980438232421875;4.334392786026001;11.314831018447876
11137500;7.443584680557251;4.613397836685181;12.056982517242432
12150000;7.98397421836853;4.885637998580933;12.869612216949463
13162500;8.418761253356934;5.158790588378906;13.57755184173584
14175000;9.479079723358154;5.428129434585571;14.907209157943726
15187500;10.029688596725464;5.822989463806152;15.852678060531616
16200000;10.580087661743164;6.09322714805603;16.673314809799194
17212500;11.066596508026123;6.362593650817871;17.429190158843994
18225000;11.613147974014282;6.633410692214966;18.246558666229248
19237500;12.119545459747314;6.909407138824463;19.028952598571777
20250000;12.79445743560791;7.180499792098999;19.97495722770691
21262500;13.225215911865234;7.45198655128479;20.677202463150024
22275000;13.912205457687378;7.726516008377075;21.638721466064453
23287500;14.447669267654419;8.003570556640625;22.451239824295044
24300000;15.139880180358887;8.276882886886597;23.416763067245483
25312500;15.685943365097046;8.558749675750732;24.24469304084778
26325000;16.345224618911743;8.83712649345398;25.182351112365723
27337500;16.886194467544556;9.121024370193481;26.007218837738037
28350000;17.5833957195282;9.395734310150146;26.979130029678345
29362500;18.20815420150757;9.666082620620728;27.874236822128296
30375000;18.81655216217041;9.93808627128601;28.75463843345642
31387500;19.333451747894287;10.212266445159912;29.5457181930542
32400000;20.123796701431274;10.483216524124146;30.60701322555542
33412500;20.760443687438965;10.75248098373413;31.512924671173096
34425000;21.6424400806427;11.02224588394165;32.66468596458435
35437500;22.08226776123047;11.290665864944458;33.37293362617493
36450000;22.958686351776123;11.559837818145752;34.518524169921875
37462500;23.366239547729492;11.827943801879883;35.194183349609375
38475000;23.89106774330139;12.092665195465088;35.98373293876648
39487500;24.431365251541138;12.361068964004517;36.792434215545654
40500000;25.165807247161865;12.631316423416138;37.797123670578
41512500;25.765600442886353;12.89955186843872;38.66515231132507
42525000;26.576677560806274;13.168237209320068;39.74491477012634
43537500;27.512031078338623;13.432125568389893;40.944156646728516
44550000;28.106276512145996;13.709897756576538;41.816174268722534
45562500;28.570142030715942;13.978668928146362;42.548810958862305
46575000;29.079142332077026;14.246377229690552;43.32551956176758
47587500;29.511358976364136;14.521896600723267;44.0332555770874
48600000;30.06545615196228;14.81046175956726;44.87591791152954
49612500;30.753148555755615;15.07852053642273;45.831669092178345
50625000;31.335069179534912;15.348923206329346;46.68399238586426
51637500;31.9319167137146;15.619340896606445;47.551257610321045
52650000;32.41283416748047;15.890465021133423;48.30329918861389
53662500;32.99624013900757;16.16226553916931;49.15850567817688
54675000;33.57605481147766;16.430806398391724;50.006861209869385
55687500;34.12281155586243;16.704923391342163;50.82773494720459
56700000;34.658071517944336;16.9749493598938;51.633020877838135
57712500;35.46927094459534;17.242478370666504;52.71174931526184
58725000;36.03157615661621;17.510097980499268;53.54167413711548
59737500;36.529518127441406;17.781622171401978;54.311140298843384
60750000;37.160823583602905;18.052796840667725;55.21362042427063
61762500;37.67062854766846;18.322118997573853;55.99274754524231
62775000;38.18566679954529;18.593097686767578;56.778764486312866
63787500;38.70126819610596;18.86160898208618;57.56287717819214
64800000;39.265766859054565;19.13056755065918;58.396334409713745
65812500;39.84479260444641;19.398632287979126;59.24342489242554
66825000;40.393537282943726;19.670473337173462;60.06401062011719
67837500;40.914764404296875;19.938803911209106;60.85356831550598
68850000;41.37596130371094;20.205638885498047;61.581600189208984
69862500;41.81167554855347;20.47587513923645;62.28755068778992
70875000;42.4099907875061;20.744678258895874;63.15466904640198
71887500;43.056761503219604;21.01375913619995;64.07052063941956
72900000;43.62385296821594;21.285425424575806;64.90927839279175
73912500;44.26050138473511;21.554004907608032;65.81450629234314
74925000;45.12666726112366;21.82330822944641;66.94997549057007
75937500;45.72258377075195;22.093425512313843;67.8160092830658
76950000;46.21040654182434;22.362004280090332;68.57241082191467
77962500;46.68014669418335;22.63974642753601;69.31989312171936
78975000;47.35021233558655;22.909281492233276;70.25949382781982
79987500;47.84003520011902;23.180994749069214;71.02102994918823
81000000;48.3346426486969;23.45152759552002;71.78617024421692
82012500;48.77975082397461;23.718127727508545;72.49787855148315
83025000;49.43759846687317;23.989109992980957;73.42670845985413
84037500;50.09160614013672;24.263083696365356;74.35468983650208
85050000;50.59590721130371;24.533756256103516;75.12966346740723
86062500;51.2635440826416;24.80636978149414;76.06991386413574
87075000;51.75840759277344;25.074994802474976;76.83340239524841
88087500;52.28792071342468;25.351149797439575;77.63907051086426
89100000;53.010679960250854;25.624622106552124;78.63530206680298
90112500;54.19301748275757;25.89768362045288;80.09070110321045
91125000;54.8216392993927;26.17117142677307;80.99281072616577
92137500;55.55441761016846;26.44213891029358;81.99655652046204
93150000;56.19291019439697;26.715787172317505;82.90869736671448
94162500;56.738526821136475;26.983036279678345;83.72156310081482
95175000;57.483349561691284;27.25203800201416;84.73538756370544
96187500;57.96512460708618;27.521027088165283;85.48615169525146
97200000;58.46122407913208;27.79550313949585;86.25672721862793
98212500;59.09227395057678;28.06508183479309;87.15735578536987
99225000;59.69716143608093;28.338770627975464;88.0359320640564
